Tura,Symbol,Koszt,Oblozenie,Koszt w turze
6,r9,1.685*r9**0.95,71,96.6708053144386
6,r10,1.875*r10**0.95,0,0
6,r11,2.645*r11**0.95,71,151.747347214653
6,r12,2.835*r12**0.95,0,0
7,f1,1.3*f1**1.03,71,104.891296012750
7,f2,1.3*f2**1.03,213,325.217827131336
7,s1,1.1*s1**1.07,71,105.254123320670
7,s2,1.1*s2**1.07,71,105.254123320670
7,s3,1.1*s3**1.07,71,105.254123320670
7,s4,1.1*s4**1.07,71,105.254123320670
7,m1,1.2*m1**1.05,213,334.179519056127
7,m2,1.2*m2**1.05,71,105.439299557357
7,r1,1.78*r1**0.95,0,0
7,r2,0.195*r2**0.95,213,31.7683921204546
7,r3,1.83*r3**0.95,71,104.989657997283
7,r4,0.145*r4**0.95,0,0
7,r5,0.705*r5**0.95,71,40.4468354579698
7,r6,0.895*r6**0.95,0,0
7,r7,2.85*r7**0.95,0,0
7,r8,0.01*r8**0.95,71,0.573713978127232
7,r9,1.685*r9**0.95,71,96.6708053144386
7,r10,1.875*r10**0.95,0,0
7,r11,2.645*r11**0.95,71,151.747347214653
7,r12,2.835*r12**0.95,0,0
8,f1,1.3*f1**1.03,71,104.891296012750
8,f2,1.3*f2**1.03,213,325.217827131336
8,s1,1.1*s1**1.07,71,105.254123320670
8,s2,1.1*s2**1.07,71,105.254123320670
8,s3,1.1*s3**1.07,71,105.254123320670
8,s4,1.1*s4**1.07,71,105.254123320670
8,m1,1.2*m1**1.05,213,334.179519056127
8,m2,1.2*m2**1.05,71,105.439299557357
8,r1,1.78*r1**0.95,0,0
8,r2,0.195*r2**0.95,213,31.7683921204546
8,r3,1.83*r3**0.95,71,104.989657997283
8,r4,0.145*r4**0.95,0,0
8,r5,0.705*r5**0.95,71,40.4468354579698
8,r6,0.895*r6**0.95,0,0
8,r7,2.85*r7**0.95,0,0
8,r8,0.01*r8**0.95,71,0.573713978127232
8,r9,1.685*r9**0.95,71,96.6708053144386
8,r10,1.875*r10**0.95,0,0
8,r11,2.645*r11**0.95,71,151.747347214653
8,r12,2.835*r12**0.95,0,0
9,f1,1.3*f1**1.03,71,104.891296012750
9,f2,1.3*f2**1.03,213,325.217827131336
9,s1,1.1*s1**1.07,71,105.254123320670
9,s2,1.1*s2**1.07,71,105.254123320670
9,s3,1.1*s3**1.07,71,105.254123320670
9,s4,1.1*s4**1.07,71,105.254123320670
9,m1,1.2*m1**1.05,213,334.179519056127
9,m2,1.2*m2**1.05,71,105.439299557357
9,r1,1.78*r1**0.95,0,0
9,r2,0.195*r2**0.95,213,31.7683921204546
9,r3,1.83*r3**0.95,71,104.989657997283
9,r4,0.145*r4**0.95,0,0
9,r5,0.705*r5**0.95,71,40.4468354579698
9,r6,0.895*r6**0.95,0,0
9,r7,2.85*r7**0.95,0,0
9,r8,0.01*r8**0.95,71,0.573713978127232
9,r9,1.685*r9**0.95,71,96.6708053144386
9,r10,1.875*r10**0.95,0,0
9,r11,2.645*r11**0.95,71,151.747347214653
9,r12,2.835*r12**0.95,0,0
10,f1,1.3*f1**1.03,71,104.891296012750
10,f2,1.3*f2**1.03,213,325.217827131336
10,s1,1.1*s1**1.07,71,105.254123320670
