Tura,Zysk
1,-267.941187123176
2,82.0588128768244
3,68.0588128768244
4,-43.9411871231757
5,-113.941187123176
6,82.0588128768244
7,-85.9411871231757
8,-232.941187123176
9,75.0588128768244
10,-127.941187123176
11,222.058812876824
12,166.058812876824
13,-211.941187123176
14,166.058812876824
15,96.0588128768244
16,-218.941187123176
17,33.0588128768244
18,26.0588128768244
19,152.058812876824
20,-197.941187123176
21,307.294473103006
22,338.533276757795
23,331.682406488417
24,317.015801119088
25,314.688745378299
26,282.283519450471
27,308.427802110364
28,327.115495925025
29,314.416049157127
30,321.324985918661
