Tura,Symbol,Koszt,Efekt skali,Oblozenie,Koszt w turze
9,r2,0.5,1,0,0.0
9,r3,0.505,1,0,0.0
9,r4,0.26,1,50,13.0
9,r5,0.505,1,0,0.0
9,r6,0.38,1,12,4.5600000000000005
9,r7,0.535,1,0,0.0
9,r8,0.35000000000000003,1,13,4.550000000000001
9,r9,0.485,1,0,0.0
9,r10,0.4,1,25,10.0
9,r11,0.6,1,5,3.0
9,r12,0.5700000000000001,1,0,0.0
